run_id,insName,jobCount,stageCount,machinesPerStage,timelimit,foundFeasibleSol,totalElapsedTime,firstObj,firstBound,bestObj,bestBound,improvementRatio,methodCallCounts,reportCount,mipLbBound,mipLbStatus,mipLbDelta,mipLbSolverRuntimeSec,mipLbApplyElapsedSec,mipLbDispatchCmax,mipLbSelectedDispatchVariant,retainedCpBound,retainedCpCallCount,retainedCpBounds,retainedCpModes,retainedCpBestBound,retainedCpBestStatus,retainedCpBestMode,retainedCpBestStages,retainedCpBestBottleneckStage,retainedCpBestSolverRuntimeSec,retainedCpBestApplyElapsedSec,retainedCpBestBoundObj,retainedCpStatus,retainedCpMode,retainedCpStages,retainedCpBottleneckStage,retainedCpSolverRuntimeSec,retainedCpApplyElapsedSec,retainedCpBestObj,retainedCpDispatchObj,retainedCpPostDispatchObj,retainedCpSelectedDispatchVariant,retainedCpPostSelectedDispatchVariant,retainedCpDispatchAnchorStages,retainedCpDispatchElapsedSec,retainedCpDispatchUpdatedIncumbent,retainedCpDispatchKeptIncumbent,scenario,_run_root,_scenario,_path,_has_mip,retainedCpDispatchCpUb,retainedCpDispatchCpLb,refObj,rpdf,is_2nc
20260411T101357_046173/20260410-02,13,160,5,3,1600.0,True,2.6411858604988083,,,4141.0,4141.0,0.0,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260410-02,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/ff2020/20260410-02/multi_instance_summary.csv,False,,,4141,0.0,True
20260411T101357_046173/20260410-02,45,240,5,3,2400.0,True,4.042057954357006,,,5964.0,5964.0,0.0,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260410-02,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/all_scenarios_summary.csv,False,,,5964,0.0,True
20260411T101357_046173/20260410-02,65,200,5,3,2000.0,True,3.259480109089054,,,4868.0,4868.0,0.0,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260410-02,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/ff2020/20260410-02/multi_instance_summary.csv,False,,,4868,0.0,True
20260411T101357_046173/20260410-02,117,240,5,3,2400.0,True,3.7192020467482494,,,6319.0,6319.0,0.0,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260410-02,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/ff2020/20260410-02/multi_instance_summary.csv,False,,,6319,0.0,True
20260411T101357_046173/20260410-02,129,120,5,3,1200.0,True,1.78974070539698,,,2874.0,2874.0,0.0,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260410-02,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/all_scenarios_summary.csv,False,,,2874,0.0,True
20260411T101357_046173/20260410-02,157,160,5,3,1600.0,True,2.510168658103794,,,4391.0,4391.0,0.0,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260410-02,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/all_scenarios_summary.csv,False,,,4391,0.0,True
20260411T101357_046173/20260410-02,189,240,5,3,2400.0,True,4.042237104382366,,,6217.0,6217.0,0.0,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260410-02,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/ff2020/20260410-02/multi_instance_summary.csv,False,,,6217,0.0,True
20260411T101357_046173/20260410-02,238,240,10,2,4800.0,True,12.21651320811361,,,12744.0,12744.0,0.0,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260410-02,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/ff2020/20260410-02/multi_instance_summary.csv,False,,,12744,0.0,True
20260411T101357_046173/20260410-02,239,240,15,3,7200.0,True,25.00517970102373,,,6382.0,6382.0,0.0,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260410-02,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/all_scenarios_summary.csv,False,,,6382,0.0,True
20260423T144134_345392/20260421-03-bneck-band-r2-t005-plus-combo,229,160,5,3,1600.0,True,32.5594522790052,,,4097.0,4097.0,0.0017056530214424,"{'set_random_seed': 1, 'apply_shdlb': 1, 'initialize_by_best_of_selected_dispatches': 1, 'apply_retained_stage_cp_lb': 1, 'dispatch_from_retained_cp': 1}",4,,,,,,,,4097.0,,,,,,,,,,,,OPTIMAL,first_bottleneck_band_last,i0 i1 i2 i3 i4,i1,14.154448941,14.3007231047377,4097.0,4097.0,,cp_band_preferred_strict_call_release,,i1 i2 i3,15.626589976018296,True,,,20260423T144134_345392,20260421-03-bneck-band-r2-t005-plus-combo,Outputs_scenarios/20260423T144134_345392/ff2020/20260421-03-bneck-band-r2-t005-plus-combo/multi_instance_summary.csv,False,,,4097,0.0,True
