ins,n,c,D_obj,B0504_obj,selected_lane,delta_vs_0504
1,40,5,976.0,976.0,no_suffix_guard_or_skip,0.0
2,40,10,1292.0,1292.0,no_suffix_guard_or_skip,0.0
3,40,15,1495.0,1490.0,retained_cp_sequence_first_neh,5.0
4,40,20,1922.0,1920.0,interleaved_pw_neh_basin,2.0
5,80,5,1974.0,1974.0,no_suffix_guard_or_skip,0.0
6,80,10,2189.0,2182.0,retained_cp_sequence_first_neh,7.0
7,80,15,2333.0,2333.0,delayed_profile_first_neh,0.0
8,80,20,2394.0,2402.0,delayed_profile_first_neh,-8.0
9,120,5,2818.0,2819.0,no_suffix_guard_or_skip,-1.0
10,120,10,3127.0,3124.0,cp_seeded_first_neh,3.0
11,120,15,3257.0,3255.0,delayed_profile_first_neh,2.0
12,120,20,3648.0,3640.0,delayed_profile_first_neh,8.0
13,160,5,4141.0,4141.0,no_suffix_guard_or_skip,0.0
14,160,10,4270.0,4270.0,retained_cp_sequence_first_neh,0.0
15,160,15,4187.0,4179.0,delayed_profile_first_neh,8.0
16,160,20,4489.0,4457.0,safe_0504_first_neh,32.0
17,200,5,5020.0,5020.0,no_suffix_guard_or_skip,0.0
18,200,10,5534.0,5534.0,no_suffix_guard_or_skip,0.0
19,200,15,5178.0,5187.0,delayed_profile_first_neh,-9.0
20,200,20,5599.0,5610.0,cp_seeded_first_neh,-11.0
21,240,5,6347.0,6347.0,no_suffix_guard_or_skip,0.0
22,240,10,6233.0,6233.0,no_suffix_guard_or_skip,0.0
23,240,15,6506.0,6506.0,no_suffix_guard_or_skip,0.0
24,240,20,6144.0,6168.0,safe_0504_first_neh,-24.0
25,40,5,978.0,978.0,no_suffix_guard_or_skip,0.0
26,40,10,1294.0,1294.0,interleaved_pw_neh_basin,0.0
27,40,15,1585.0,1572.0,cp_seeded_first_neh,13.0
28,40,20,1900.0,1907.0,cp_seeded_first_neh,-7.0
29,80,5,2098.0,2098.0,no_suffix_guard_or_skip,0.0
30,80,10,2047.0,2053.0,cp_seeded_first_neh,-6.0
31,80,15,2328.0,2328.0,no_suffix_guard_or_skip,0.0
32,80,20,2472.0,2470.0,retained_cp_sequence_first_neh,2.0
33,120,5,3051.0,3051.0,no_suffix_guard_or_skip,0.0
